일시,최대전력(MW),평균기온(°C),최고기온(°C),최저기온(°C),평균 상대습도(%),평균 풍속(m/s),일강수량(mm),일 최심신적설(cm),월,요일,주말여부,불쾌지수,체감온도
2024-03-03,64502.0,5.416666666666667,10.25,1.2333333333333334,66.98333333333333,2.766666666666667,0.5333333333333333,0.0,3,6,1,44.700864583333335,3.1647369198584467
2024-03-04,76456.0,7.150000000000001,12.866666666666667,0.8666666666666666,53.76666666666667,1.6666666666666667,0.0,0.0,3,0,0,48.20874016666667,6.195072348487393
2024-03-05,81691.0,7.1000000000000005,9.816666666666666,5.3999999999999995,73.63333333333334,2.9333333333333336,5.775,0.0,3,1,0,46.69712033333333,5.058854322385093
2024-03-06,75397.0,7.116666666666667,11.549999999999999,3.5666666666666664,66.01666666666667,2.5833333333333335,0.0,0.0,3,2,0,47.275320916666665,5.329679132192576
2024-03-07,77363.0,5.1000000000000005,8.700000000000001,2.283333333333333,61.4,2.8000000000000003,0.42000000000000004,0.0,3,3,0,44.750886,2.7606586215355753
2024-03-08,74464.0,3.6666666666666665,8.633333333333333,0.4666666666666666,45.78333333333333,3.5,0.0,0.0,3,4,0,44.38491833333333,0.5256783037049941
2024-03-09,65322.0,2.9666666666666663,8.450000000000001,-1.3333333333333333,46.93333333333334,2.4166666666666665,0.0,0.0,3,5,1,43.36996533333333,0.5540601251804513
2024-03-10,63464.0,5.216666666666667,12.133333333333333,-1.3499999999999999,49.43333333333334,1.95,0.0,0.0,3,6,1,46.009517833333334,3.657259584378528
2024-03-11,74908.0,7.2,12.0,1.9666666666666666,60.68333333333333,1.7399999999999998,2.0,0.0,3,0,0,47.779791333333336,6.174141835431351
2024-03-12,78213.0,6.416666666666667,11.066666666666668,3.5833333333333335,77.7,1.8399999999999999,1.2333333333333334,0.0,3,1,0,45.3222925,5.164422318104932
2024-03-13,73868.0,6.983333333333333,13.0,1.5333333333333332,59.4,2.533333333333333,0.0,0.0,3,2,0,47.568919,5.209647950018104
2024-03-14,73172.0,8.716666666666667,16.0,3.0666666666666664,53.88333333333333,2.1,0.0,0.0,3,3,0,50.30504558333334,7.59908279687363
2024-03-15,70500.0,10.116666666666667,16.983333333333334,3.466666666666667,53.9,2.533333333333333,0.0,0.0,3,4,0,52.185154499999996,10.116666666666667
2024-03-16,62121.0,11.950000000000001,19.900000000000002,4.633333333333334,50.61666666666667,2.033333333333333,0.05,0.0,3,5,1,54.72952141666667,11.950000000000001
2024-03-17,61659.0,10.733333333333334,15.416666666666666,6.05,52.6,3.4499999999999997,0.04,0.0,3,6,1,53.061476,10.733333333333334
2024-03-18,71342.0,8.299999999999999,14.833333333333334,2.3333333333333335,39.81666666666667,2.216666666666667,0.0,0.0,3,0,0,50.600952166666666,7.014758203814041
2024-03-19,73424.0,8.133333333333333,12.966666666666667,4.783333333333333,54.96666666666667,4.1000000000000005,0.125,0.0,3,1,0,49.453682666666666,5.644839425906598
2024-03-20,72438.0,5.45,9.883333333333333,2.5,43.800000000000004,3.766666666666667,0.0,0.0,3,2,0,46.814329,2.5313465783432365
2024-03-21,72439.0,5.783333333333334,11.933333333333332,0.0,49.13333333333333,2.1333333333333333,0.0,0.0,3,3,0,46.771562333333335,4.136800577526783
2024-03-22,70498.0,10.633333333333333,16.183333333333334,3.75,60.916666666666664,3.483333333333333,3.65,0.0,3,4,0,52.61461416666667,10.633333333333333
2024-03-23,60972.0,14.75,20.616666666666667,10.5,65.66666666666667,2.6,0.27999999999999997,0.0,3,5,1,58.44614166666666,14.75
2024-03-24,59839.0,13.316666666666668,17.666666666666668,10.233333333333333,64.33333333333333,3.033333333333333,3.8666666666666667,0.0,3,6,1,56.36821833333333,13.316666666666668
2024-03-25,72997.0,10.283333333333333,13.5,7.433333333333333,76.46666666666667,3.5833333333333335,10.183333333333334,0.0,3,0,0,51.47945566666667,10.283333333333333
2024-03-26,74182.0,7.633333333333333,11.9,4.3999999999999995,82.23333333333333,2.466666666666667,15.5,0.0,3,1,0,46.938006333333334,6.03129628687716
2024-03-27,69829.0,10.066666666666666,15.9,3.9166666666666665,72.35000000000001,1.6166666666666665,0.0,0.0,3,2,0,51.318351,10.066666666666666
2024-03-28,75842.0,10.116666666666667,11.983333333333334,8.366666666666667,87.95,1.9166666666666667,21.066666666666666,0.0,3,3,0,50.72628225,10.116666666666667
2024-03-29,69967.0,10.15,14.85,6.25,75.76666666666667,3.3000000000000003,1.2,0.0,3,4,0,51.30028016666667,10.15
2024-03-30,60199.0,10.866666666666667,17.566666666666666,4.216666666666667,62.03333333333333,2.35,0.65,0.0,3,5,1,52.90477933333334,10.866666666666667
2024-03-31,58369.0,11.816666666666668,18.366666666666667,5.783333333333334,50.699999999999996,1.8666666666666665,0.0,0.0,3,6,1,54.5525395,11.816666666666668
2024-04-01,67349.0,13.516666666666666,20.866666666666667,6.3,43.61666666666667,1.8333333333333333,0.0,0.0,4,0,0,56.84788091666667,13.516666666666666
2024-04-02,67742.0,15.466666666666667,23.0,8.5,52.38333333333333,1.7666666666666666,6.025,0.0,4,1,0,59.358119333333335,15.466666666666667
2024-04-03,71199.0,13.983333333333334,15.983333333333334,12.283333333333333,81.83333333333333,2.1,22.55,0.0,4,2,0,57.25293083333334,13.983333333333334
2024-04-04,68151.0,13.9,17.8,11.566666666666668,67.8,2.6666666666666665,0.16666666666666666,0.0,4,3,0,57.193557999999996,13.9
2024-04-05,65933.0,13.566666666666668,18.716666666666665,10.200000000000001,61.699999999999996,2.316666666666667,0.0,0.0,4,4,0,56.752826999999996,13.566666666666668
2024-04-06,58937.0,13.233333333333334,19.333333333333332,8.416666666666666,61.333333333333336,1.5333333333333332,0.0,0.0,4,5,1,56.283613333333335,13.233333333333334
2024-04-07,57502.0,15.766666666666667,23.366666666666664,8.733333333333333,45.48333333333333,1.5666666666666667,0.0,0.0,4,6,1,59.66637683333333,15.766666666666667
2024-04-08,67383.0,16.45,22.46666666666667,10.916666666666666,48.333333333333336,1.3833333333333335,0.0,0.0,4,0,0,60.584158333333335,16.45
2024-04-09,66950.0,14.516666666666666,20.349999999999998,9.549999999999999,47.800000000000004,3.483333333333334,0.0,0.0,4,1,0,58.092676999999995,14.516666666666666
2024-04-10,62161.0,13.549999999999999,19.150000000000002,8.683333333333332,61.25,2.2333333333333334,0.0,0.0,4,2,0,56.73313125,13.549999999999999
2024-04-11,66663.0,15.299999999999999,20.96666666666667,11.366666666666667,64.58333333333333,1.5833333333333333,0.0,0.0,4,3,0,59.24002083333333,15.299999999999999
2024-04-12,64816.0,17.116666666666667,24.21666666666667,11.266666666666666,63.28333333333333,1.55,0.0,0.0,4,4,0,61.838660583333336,17.116666666666667
2024-04-13,58314.0,18.583333333333332,26.400000000000002,11.35,58.349999999999994,1.5166666666666666,0.0,0.0,4,5,1,63.743391249999995,18.583333333333332
2024-04-14,58115.0,19.683333333333334,27.083333333333332,12.283333333333333,53.15,1.8166666666666667,0.0,0.0,4,6,1,65.00012475,19.683333333333334
2024-04-15,68634.0,16.083333333333332,19.266666666666666,13.166666666666666,83.31666666666666,2.4833333333333334,15.0,0.0,4,0,0,60.67931291666667,16.083333333333332
2024-04-16,67321.0,14.866666666666667,19.716666666666665,12.049999999999999,77.83333333333333,2.466666666666667,1.7,0.0,4,1,0,58.667343333333335,14.866666666666667
2024-04-17,66182.0,15.450000000000001,22.083333333333332,9.816666666666666,62.21666666666667,1.8833333333333335,0.0,0.0,4,2,0,59.43386691666667,15.450000000000001
2024-04-18,66740.0,17.016666666666666,24.116666666666664,10.783333333333333,56.11666666666667,1.9000000000000001,0.0,0.0,4,3,0,61.51251091666667,17.016666666666666
2024-04-19,65136.0,18.05,24.78333333333333,11.266666666666666,52.550000000000004,1.9333333333333333,0.0,0.0,4,4,0,62.79627225,18.05
2024-04-20,59338.0,15.133333333333333,17.766666666666666,13.133333333333333,80.36666666666666,2.5833333333333335,7.266666666666667,0.0,4,5,1,59.10610066666666,15.133333333333333
2024-04-21,58279.0,16.2,18.650000000000002,13.816666666666668,78.89999999999999,2.8000000000000003,1.325,0.0,4,6,1,60.793282000000005,16.2
2024-04-22,66727.0,16.883333333333333,20.933333333333334,14.35,66.83333333333333,2.65,1.2,0.0,4,0,0,61.58919083333333,16.883333333333333
2024-04-23,66991.0,15.75,21.166666666666668,11.899999999999999,67.73333333333333,3.0666666666666664,2.65,0.0,4,1,0,59.93295333333333,15.75
2024-04-24,66215.0,13.816666666666668,18.116666666666667,10.716666666666667,79.38333333333334,2.466666666666667,4.3500000000000005,0.0,4,2,0,56.99813258333334,13.816666666666668
2024-04-25,66552.0,15.766666666666666,22.983333333333334,10.15,69.31666666666666,2.033333333333333,0.0,0.0,4,3,0,59.97835516666667,15.766666666666666
2024-04-26,65026.0,17.383333333333333,24.349999999999998,12.033333333333333,68.81666666666666,1.5999999999999999,0.0,0.0,4,4,0,62.38272091666667,17.383333333333333
2024-04-27,57999.0,18.466666666666665,26.05,11.816666666666668,60.0,1.6666666666666667,0.0,0.0,4,5,1,63.6472,18.466666666666665
2024-04-28,58003.0,19.48333333333333,27.266666666666666,12.433333333333332,61.65,1.8,0.0,0.0,4,6,1,65.15691025,19.48333333333333
2024-04-29,67228.0,17.116666666666664,20.483333333333334,14.833333333333334,73.76666666666667,2.9,14.6,0.0,4,0,0,62.11599716666666,17.116666666666664
2024-04-30,66065.0,16.616666666666667,20.95,13.65,76.46666666666667,2.0833333333333335,0.5,0.0,4,1,0,61.40391566666666,16.616666666666667
2024-05-01,60711.0,15.6,20.033333333333335,12.033333333333333,64.53333333333333,2.6166666666666667,1.7999999999999998,0.0,5,2,0,59.674261333333334,15.6
2024-05-02,66858.0,16.483333333333334,22.816666666666666,10.700000000000001,59.51666666666667,1.9666666666666668,0.0,0.0,5,3,0,60.85284391666667,16.483333333333334
2024-05-03,65403.0,18.466666666666665,26.21666666666667,10.966666666666667,53.916666666666664,1.6500000000000001,0.0,0.0,5,4,0,63.404961666666665,18.466666666666665
2024-05-04,57871.0,20.2,26.95,12.283333333333333,55.583333333333336,1.6833333333333333,0.0,0.0,5,5,1,65.82913833333333,20.2
2024-05-05,57151.0,18.183333333333334,20.433333333333334,16.383333333333333,88.66666666666667,2.533333333333333,47.01666666666667,0.0,5,6,1,64.31049666666667,18.183333333333334
2024-05-06,60134.0,15.833333333333334,18.45,14.566666666666668,87.5,3.35,13.866666666666665,0.0,5,0,0,60.328125,15.833333333333334
2024-05-07,67765.0,13.783333333333333,16.783333333333335,11.816666666666668,85.5,2.8666666666666667,6.0,0.0,5,1,0,56.9049025,13.783333333333333
2024-05-08,65047.0,14.166666666666666,19.5,9.833333333333334,67.46666666666665,2.283333333333333,2.025,0.0,5,2,0,57.58946666666667,14.166666666666666
2024-05-09,66481.0,15.883333333333333,21.95,9.483333333333333,62.71666666666667,2.4166666666666665,0.0,0.0,5,3,0,60.058898916666664,15.883333333333333
2024-05-10,65342.0,18.183333333333334,24.933333333333334,11.866666666666667,54.699999999999996,2.516666666666667,0.0,0.0,5,4,0,63.0532205,18.183333333333334
2024-05-11,60042.0,18.3,23.5,14.0,77.88333333333334,3.8166666666666664,14.966666666666667,0.0,5,5,1,64.09580683333334,18.3
2024-05-12,57019.0,17.333333333333332,22.450000000000003,13.166666666666666,65.41666666666667,2.6166666666666667,11.025,0.0,5,6,1,62.21091666666666,17.333333333333332
2024-05-13,66062.0,17.983333333333334,24.349999999999998,11.866666666666667,55.03333333333333,1.8499999999999999,0.0,0.0,5,0,0,62.79459283333334,17.983333333333334
2024-05-14,66155.0,18.733333333333334,25.25,11.866666666666667,51.449999999999996,1.95,0.0,0.0,5,1,0,63.658567000000005,18.733333333333334
2024-05-15,61854.0,15.049999999999999,22.416666666666668,9.166666666666666,70.36666666666666,2.766666666666667,11.25,0.0,5,2,0,58.91234816666667,15.049999999999999
2024-05-16,65411.0,14.816666666666668,20.849999999999998,8.233333333333334,60.71666666666667,3.5,1.02,0.0,5,3,0,58.52524091666667,14.816666666666668
2024-05-17,64407.0,18.599999999999998,24.866666666666664,12.416666666666666,60.71666666666666,2.6833333333333336,0.0,0.0,5,4,0,63.863883666666666,18.599999999999998
2024-05-18,58755.0,20.633333333333333,26.866666666666664,14.416666666666666,60.98333333333333,2.0500000000000003,0.0,0.0,5,5,1,66.74944883333333,20.633333333333333
2024-05-19,58903.0,21.366666666666664,28.45,15.366666666666665,58.98333333333333,1.75,0.0,0.0,5,6,1,67.64912783333332,21.366666666666664
